,link,Name,Subtitle,Price,Sale price
81,https://www.nike.com/t/blazer-mid-77-womens-shoes-NPWfjm/CZ1055-117,Nike Blazer Mid '77,Women's Shoes,$105,$73.97
82,https://www.nike.com/t/air-max-intrlk-womens-shoes-wRwftK/DQ2904-100,Nike Air Max INTRLK,Women's Shoes,$110,$83.97
83,https://www.nike.com/t/zoom-air-fire-womens-shoes-qWR8HQ/DR7852-001,Nike Zoom Air Fire,Women's Shoes,$125,$93.97
84,https://www.nike.com/t/air-max-excee-womens-shoes-jKsgMj/CD5432-121,Nike Air Max Excee,Women's Shoes,$95,$76.97
85,https://www.nike.com/t/air-max-systm-big-kids-shoes-jh1PDw/DQ0284-114,Nike Air Max SYSTM,Big Kids' Shoes,$85,$65.97
86,https://www.nike.com/t/air-max-bolt-womens-shoes-WSLhlr/CU4152-101,Nike Air Max Bolt,Women's Shoes,$95,$71.97
87,https://www.nike.com/t/dunk-low-retro-se-mens-shoes-54Zggv/HF2874-001,Nike Dunk Low Retro SE,Men's Shoes,$125,$99.97
88,https://www.nike.com/t/phoenix-waffle-womens-shoes-jRhRTR/FZ3600-072,Nike Phoenix Waffle,Women's Shoes,$100,$70.97
89,https://www.nike.com/t/jordan-6-rings-mens-shoes-ktJpRh/322992-165,Jordan 6 Rings,Men's Shoes,$170,$144.97
90,https://www.nike.com/t/court-vintage-premium-mens-shoe-Qfq3Gv/CT1726-100,Nike Court Vintage Premium,Men's Shoe,$80,$68.97
91,https://www.nike.com/t/full-force-low-mens-shoes-CCdZND/HF1739-100,Nike Full Force Low,Men's Shoes,$100,$59.97
92,https://www.nike.com/t/air-jordan-1-low-se-big-kids-shoes-c53hZ6/FN9137-141,Air Jordan 1 Low SE,Big Kids' Shoes,$110,$82.97
93,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/FJ3448-001,Air Jordan 1 Mid SE,Women's Shoes,$135,$101.97
94,https://www.nike.com/t/jordan-1-mid-se-baby-toddler-shoes-JMnp8p/FN9773-018,Jordan 1 Mid SE,Baby/Toddler Shoes,$65,$55.97
95,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-107,Nike Waffle Debut,Women's Shoes,$75,$61.97
96,https://www.nike.com/t/air-max-bolt-big-kids-shoes-W87KDt/CW1626-500,Nike Air Max Bolt,Big Kids' Shoes,$85,$60.97
97,https://www.nike.com/t/air-max-1-big-kids-shoes-qTLjtC/FZ3559-100,Nike Air Max 1,Big Kids' Shoes,$100,$90.97
98,https://www.nike.com/t/dri-fit-icon-mens-basketball-shorts-2c8F76/AJ3914-010,Nike Dri-FIT Icon,Men's Basketball Shorts,$30,$19.97
